FirstName,LastName,DisplayName,UserPrincipalName,SamAccountName,Email,Department,Title,Office,Company,Country,City,State,PostalCode,StreetAddress,TelephoneNumber,Mobile,EmployeeID,Manager,Description,Created,LastLogon,PasswordLastSet,AccountExpires,Locked,PwdNeverExpires,proxyAddresses,mailNickname,userAccountControl,employeeType,initials,titleCode,homeDirectory,homeDrive,scriptPath,profilePath,lastBadPasswordAttempt,badPwdCount,msExchHideFromAddressLists,extensionAttribute1,extensionAttribute2,extensionAttribute3
Jeanette,Johnson,Jeanette Johnson,jjohnson@phscripts.com,jjohnson,jjohnson@phscripts.com,IT,Consultant,Branch East,PHscripts,USA,Jenniferbury,Texas,70533,33362 Jeremy Fall,761-941-9599x984,7064276244,33635,max.mustermann@phscripts.com,Consultant in IT,2023-11-01 06:53:58,2024-02-09 06:53:58,2023-11-06 06:53:58,,True,True,SMTP:jjohnson@phscripts.com;smtp:jeanette.johnson@alias.phscripts.com,jjohnson,544,Intern,JJ,TC275,\\fileserver\home\jjohnson,H:,logon.bat,\\server\profiles\jjohnson,2023-12-16 06:53:58,7,False,guess,series,above
Keith,Snow,Keith Snow,ksnow@contoso.com,ksnow,ksnow@contoso.com,HR,Administrator,HQ,Contoso,USA,East Jasonville,Georgia,94371,01811 Tiffany Forges Apt. 438,001-939-605-0667,+1-046-138-7724x874,31218,jane.smith@contoso.com,Administrator in HR,2023-08-28 12:30:29,2024-03-04 12:30:29,2023-09-02 12:30:29,,True,True,SMTP:ksnow@contoso.com;smtp:keith.snow@alias.contoso.com,ksnow,512,Permanent,KS,TC469,\\fileserver\home\ksnow,H:,logon.bat,\\server\profiles\ksnow,2024-01-11 12:30:29,5,True,south,yet,participant
Jasmine,Moore,Jasmine Moore,jmoore@phinit.com,jmoore,jmoore@phinit.com,IT,Engineer,Regional Office,PhinIT,USA,Smithville,Vermont,44802,81573 Camacho Overpass,005-066-1953x8968,001-821-110-1481,66582,max.mustermann@phinit.com,Engineer in IT,2024-05-24 17:37:51,2025-06-23 17:37:51,2024-05-29 17:37:51,,False,False,SMTP:jmoore@phinit.com;smtp:jasmine.moore@alias.phinit.com,jmoore,514,Contractor,JM,TC262,\\fileserver\home\jmoore,H:,logon.bat,\\server\profiles\jmoore,2025-06-03 17:37:51,3,False,country,their,street
Thomas,Campbell,Thomas Campbell,tcampbell@psscripts.com,tcampbell,tcampbell@psscripts.com,Marketing,Manager,Branch West,PSscripts,USA,Danielport,Maryland,01004,3749 Estrada Mountains Apt. 404,+1-084-959-7129x931,+1-860-274-9266x488,25713,john.doe@psscripts.com,Manager in Marketing,2023-08-28 03:19:46,2024-03-25 03:19:46,2023-09-02 03:19:46,,False,True,SMTP:tcampbell@psscripts.com;smtp:thomas.campbell@alias.psscripts.com,tcampbell,544,Contractor,TC,TC397,\\fileserver\home\tcampbell,H:,logon.bat,\\server\profiles\tcampbell,2024-03-12 03:19:46,6,False,generation,list,space
Sean,Chen,Sean Chen,schen@phscripts.com,schen,schen@phscripts.com,HR,Specialist,Remote,PHscripts,USA,South Cindyfort,Washington,44723,39047 Hunt Path Suite 613,(076)710-5633x252,+1-550-036-7182x51414,27243,jane.smith@phscripts.com,Specialist in HR,2023-12-16 08:01:48,2024-04-21 08:01:48,2023-12-21 08:01:48,,True,False,SMTP:schen@phscripts.com;smtp:sean.chen@alias.phscripts.com,schen,512,Intern,SC,TC104,\\fileserver\home\schen,H:,logon.bat,\\server\profiles\schen,2024-03-20 08:01:48,6,True,fast,score,listen
Andrea,Torres,Andrea Torres,atorres@contoso.com,atorres,atorres@contoso.com,IT,Manager,Branch East,Contoso,USA,Garrisonstad,Oregon,81741,3176 Mary Courts Apt. 744,+1-582-127-8713,(135)055-0804x65343,23541,john.doe@contoso.com,Manager in IT,2023-11-30 21:49:43,2024-08-24 21:49:43,2023-12-05 21:49:43,,True,True,SMTP:atorres@contoso.com;smtp:andrea.torres@alias.contoso.com,atorres,514,Contractor,AT,TC120,\\fileserver\home\atorres,H:,logon.bat,\\server\profiles\atorres,2024-07-18 21:49:43,10,False,movie,little,share
Autumn,Thomas,Autumn Thomas,athomas@phinit.com,athomas,athomas@phinit.com,Sales,Administrator,HQ,PhinIT,USA,Mcclainchester,Alaska,96099,491 Morgan Alley,4508413851,316-212-8425,51490,max.mustermann@phinit.com,Administrator in Sales,2024-03-13 00:32:19,2024-08-07 00:32:19,2024-03-18 00:32:19,,False,True,SMTP:athomas@phinit.com;smtp:autumn.thomas@alias.phinit.com,athomas,544,Intern,AT,TC439,\\fileserver\home\athomas,H:,logon.bat,\\server\profiles\athomas,2024-07-01 00:32:19,7,True,political,nothing,level
Michael,Alexander,Michael Alexander,malexander@psscripts.com,malexander,malexander@psscripts.com,Support,Specialist,HQ,PSscripts,USA,South Veronicaland,Michigan,28202,0816 Erika Summit Apt. 907,6488283978,048-544-5748x2995,21545,max.mustermann@psscripts.com,Specialist in Support,2023-11-15 06:30:14,2024-11-12 06:30:14,2023-11-20 06:30:14,,False,False,SMTP:malexander@psscripts.com;smtp:michael.alexander@alias.psscripts.com,malexander,544,Contractor,MA,TC531,\\fileserver\home\malexander,H:,logon.bat,\\server\profiles\malexander,2024-10-21 06:30:14,8,True,recent,everyone,at
Andrea,Shepard,Andrea Shepard,ashepard@phscripts.com,ashepard,ashepard@phscripts.com,Sales,Consultant,Remote,PHscripts,USA,Collierview,Mississippi,76093,2806 John Ridges Suite 585,+1-418-295-3597,905-305-2242,39908,jane.smith@phscripts.com,Consultant in Sales,2024-01-22 02:28:07,2024-03-22 02:28:07,2024-01-27 02:28:07,,False,False,SMTP:ashepard@phscripts.com;smtp:andrea.shepard@alias.phscripts.com,ashepard,514,Permanent,AS,TC641,\\fileserver\home\ashepard,H:,logon.bat,\\server\profiles\ashepard,2024-02-11 02:28:07,5,False,chance,rather,manage
Haley,Stevens,Haley Stevens,hstevens@contoso.com,hstevens,hstevens@contoso.com,HR,Administrator,Branch East,Contoso,USA,New Jenniferburgh,Florida,19222,5978 Heather Fort Apt. 112,(979)522-4246x8961,+1-723-214-3501x339,90791,jane.smith@contoso.com,Administrator in HR,2024-04-29 16:07:03,2024-07-15 16:07:03,2024-05-04 16:07:03,,True,False,SMTP:hstevens@contoso.com;smtp:haley.stevens@alias.contoso.com,hstevens,512,Permanent,HS,TC588,\\fileserver\home\hstevens,H:,logon.bat,\\server\profiles\hstevens,2024-07-08 16:07:03,2,True,establish,young,subject
Denis,Lloyd,Denis Lloyd,dlloyd@phinit.com,dlloyd,dlloyd@phinit.com,Support,Administrator,Regional Office,PhinIT,England,Teresaberg,,S3 3YA,"Flat 49
Frances wells",(0116) 496 0924,+44(0)808 157 0279,46756,john.doe@phinit.com,Administrator in Support,2023-11-22 02:19:02,2024-03-14 02:19:02,2023-11-27 02:19:02,,False,False,SMTP:dlloyd@phinit.com;smtp:denis.lloyd@alias.phinit.com,dlloyd,514,Contractor,DL,TC543,\\fileserver\home\dlloyd,H:,logon.bat,\\server\profiles\dlloyd,2024-03-07 02:19:02,9,True,asperiores,cumque,saepe
Wendy,Evans,Wendy Evans,wevans@psscripts.com,wevans,wevans@psscripts.com,Sales,Manager,Regional Office,PSscripts,England,Port Raymond,,B0D 4UA,"Flat 33c
Danielle flat",(0306)9990367,(0151)4960377,78586,max.mustermann@psscripts.com,Manager in Sales,2024-05-10 13:59:13,2024-10-22 13:59:13,2024-05-15 13:59:13,,True,True,SMTP:wevans@psscripts.com;smtp:wendy.evans@alias.psscripts.com,wevans,544,Intern,WE,TC770,\\fileserver\home\wevans,H:,logon.bat,\\server\profiles\wevans,2024-09-04 13:59:13,7,False,maxime,ut,ipsam
Charlotte,Jones,Charlotte Jones,cjones@phscripts.com,cjones,cjones@phscripts.com,IT,Consultant,Remote,PHscripts,England,East Josephinefort,,DN66 8ZL,4 Kayleigh cape,+44(0)1514960081,0113 4960637,49831,john.doe@phscripts.com,Consultant in IT,2023-09-04 09:12:20,2024-05-06 09:12:20,2023-09-09 09:12:20,,False,True,SMTP:cjones@phscripts.com;smtp:charlotte.jones@alias.phscripts.com,cjones,544,Intern,CJ,TC379,\\fileserver\home\cjones,H:,logon.bat,\\server\profiles\cjones,2024-04-05 09:12:20,8,True,odio,autem,maiores
Jeffrey,Short,Jeffrey Short,jshort@contoso.com,jshort,jshort@contoso.com,Sales,Engineer,Regional Office,Contoso,England,New Geoffreyland,,W9D 9LX,4 Denise burgs,0151 496 0772,(0191) 496 0010,94648,john.doe@contoso.com,Engineer in Sales,2024-01-01 04:55:33,2024-12-04 04:55:33,2024-01-06 04:55:33,,True,False,SMTP:jshort@contoso.com;smtp:jeffrey.short@alias.contoso.com,jshort,544,Intern,JS,TC671,\\fileserver\home\jshort,H:,logon.bat,\\server\profiles\jshort,2024-11-13 04:55:33,5,False,alias,nobis,sunt
Christopher,Day,Christopher Day,cday@phinit.com,cday,cday@phinit.com,Support,Engineer,HQ,PhinIT,England,Dianeville,,G27 9PJ,"Flat 13U
Gray forest",0151 496 0301,+44(0)1314960536,55218,max.mustermann@phinit.com,Engineer in Support,2023-12-17 00:18:37,2024-09-08 00:18:37,2023-12-22 00:18:37,,True,True,SMTP:cday@phinit.com;smtp:christopher.day@alias.phinit.com,cday,512,Contractor,CD,TC797,\\fileserver\home\cday,H:,logon.bat,\\server\profiles\cday,2024-07-24 00:18:37,3,True,quos,beatae,eos
Stephen,Brown,Stephen Brown,sbrown@psscripts.com,sbrown,sbrown@psscripts.com,HR,Manager,Regional Office,PSscripts,England,New Kieranmouth,,M1S 2NN,"Studio 08
Ann lodge",(0118) 496 0915,+44(0)3069990804,90968,jane.smith@psscripts.com,Manager in HR,2024-06-05 02:57:41,2025-03-27 02:57:41,2024-06-10 02:57:41,,False,False,SMTP:sbrown@psscripts.com;smtp:stephen.brown@alias.psscripts.com,sbrown,544,Contractor,SB,TC353,\\fileserver\home\sbrown,H:,logon.bat,\\server\profiles\sbrown,2025-02-06 02:57:41,10,True,accusantium,ipsa,voluptate
Charlotte,Forster,Charlotte Forster,cforster@phscripts.com,cforster,cforster@phscripts.com,HR,Consultant,Branch East,PHscripts,England,Hansonview,,G5E 8EU,"Flat 1
Terence orchard",01214960844,+44(0)116 4960125,44365,max.mustermann@phscripts.com,Consultant in HR,2023-10-16 00:51:00,2024-06-03 00:51:00,2023-10-21 00:51:00,,True,False,SMTP:cforster@phscripts.com;smtp:charlotte.forster@alias.phscripts.com,cforster,514,Intern,CF,TC435,\\fileserver\home\cforster,H:,logon.bat,\\server\profiles\cforster,2024-04-22 00:51:00,9,True,eveniet,maiores,autem
Brett,Reynolds,Brett Reynolds,breynolds@contoso.com,breynolds,breynolds@contoso.com,Support,Administrator,Regional Office,Contoso,England,Darrenstad,,G0 3BS,"Studio 76
Georgia center",(0115)4960385,+44151 496 0796,66723,john.doe@contoso.com,Administrator in Support,2023-10-09 14:50:49,2024-10-30 14:50:49,2023-10-14 14:50:49,,True,True,SMTP:breynolds@contoso.com;smtp:brett.reynolds@alias.contoso.com,breynolds,544,Contractor,BR,TC571,\\fileserver\home\breynolds,H:,logon.bat,\\server\profiles\breynolds,2024-10-14 14:50:49,2,False,consectetur,molestiae,nostrum
Mandy,Rhodes,Mandy Rhodes,mrhodes@phinit.com,mrhodes,mrhodes@phinit.com,Sales,Engineer,HQ,PhinIT,England,South Natashaview,,LD1 4DX,"Flat 8
Jeffrey oval",0909 879 0104,+44117 496 0910,90786,max.mustermann@phinit.com,Engineer in Sales,2023-07-17 06:08:21,2023-10-10 06:08:21,2023-07-22 06:08:21,,True,True,SMTP:mrhodes@phinit.com;smtp:mandy.rhodes@alias.phinit.com,mrhodes,512,Permanent,MR,TC891,\\fileserver\home\mrhodes,H:,logon.bat,\\server\profiles\mrhodes,2023-09-23 06:08:21,4,False,dolor,quibusdam,aliquam
Ben,Williams,Ben Williams,bwilliams@psscripts.com,bwilliams,bwilliams@psscripts.com,IT,Engineer,Branch East,PSscripts,England,Jacksontown,,PE9 7EE,"Studio 44
Gerard run",+4420 74960927,0141 496 0111,93442,jane.smith@psscripts.com,Engineer in IT,2023-08-23 17:18:18,2023-11-07 17:18:18,2023-08-28 17:18:18,,False,False,SMTP:bwilliams@psscripts.com;smtp:ben.williams@alias.psscripts.com,bwilliams,544,Intern,BW,TC991,\\fileserver\home\bwilliams,H:,logon.bat,\\server\profiles\bwilliams,2023-09-19 17:18:18,6,True,autem,doloribus,minus
Dean,Allen,Dean Allen,dallen@phscripts.com,dallen,dallen@phscripts.com,Support,Manager,Regional Office,PHscripts,England,West Ben,,E5G 1HH,"Flat 61H
Ashleigh highway",01514960222,01164960002,27823,max.mustermann@phscripts.com,Manager in Support,2024-02-29 17:17:46,2024-12-19 17:17:46,2024-03-05 17:17:46,,True,True,SMTP:dallen@phscripts.com;smtp:dean.allen@alias.phscripts.com,dallen,512,Contractor,DA,TC479,\\fileserver\home\dallen,H:,logon.bat,\\server\profiles\dallen,2024-10-27 17:17:46,8,True,occaecati,doloremque,natus
Bryan,Pollard,Bryan Pollard,bpollard@contoso.com,bpollard,bpollard@contoso.com,Finance,Consultant,Branch East,Contoso,England,Harrietland,,M0E 0UF,"Flat 2
Abdul terrace",(0116)4960672,+44114 496 0179,22856,jane.smith@contoso.com,Consultant in Finance,2024-04-18 14:47:24,2025-05-14 14:47:24,2024-04-23 14:47:24,,True,True,SMTP:bpollard@contoso.com;smtp:bryan.pollard@alias.contoso.com,bpollard,544,Contractor,BP,TC659,\\fileserver\home\bpollard,H:,logon.bat,\\server\profiles\bpollard,2025-03-22 14:47:24,9,False,architecto,aut,blanditiis
Katherine,O'Brien,Katherine O'Brien,ko'brien@phinit.com,ko'brien,ko'brien@phinit.com,Sales,Engineer,Remote,PhinIT,England,North Jonathan,,DT1 7AF,"Flat 6
Marshall mountain",0909 879 0521,+44808 157 0541,34527,max.mustermann@phinit.com,Engineer in Sales,2024-02-10 15:01:58,2024-04-25 15:01:58,2024-02-15 15:01:58,,True,False,SMTP:ko'brien@phinit.com;smtp:katherine.o'brien@alias.phinit.com,ko'brien,514,Contractor,KO,TC528,\\fileserver\home\ko'brien,H:,logon.bat,\\server\profiles\ko'brien,2024-03-22 15:01:58,8,False,praesentium,voluptas,praesentium
Gerald,Wilson,Gerald Wilson,gwilson@psscripts.com,gwilson,gwilson@psscripts.com,IT,Specialist,Remote,PSscripts,England,Lake Denismouth,,FY18 2JX,42 Kemp burg,(0117) 496 0361,0909 879 0612,57567,john.doe@psscripts.com,Specialist in IT,2023-10-31 03:24:52,2024-05-13 03:24:52,2023-11-05 03:24:52,,False,True,SMTP:gwilson@psscripts.com;smtp:gerald.wilson@alias.psscripts.com,gwilson,544,Permanent,GW,TC978,\\fileserver\home\gwilson,H:,logon.bat,\\server\profiles\gwilson,2024-04-26 03:24:52,2,False,delectus,quibusdam,molestiae
Leanne,Richardson,Leanne Richardson,lrichardson@phscripts.com,lrichardson,lrichardson@phscripts.com,Sales,Specialist,Remote,PHscripts,England,South Jenna,,E7 1GR,"Flat 98r
Hope crest",(0115) 496 0315,+44(0)1914960277,42023,john.doe@phscripts.com,Specialist in Sales,2023-08-12 16:55:41,2023-11-08 16:55:41,2023-08-17 16:55:41,,True,True,SMTP:lrichardson@phscripts.com;smtp:leanne.richardson@alias.phscripts.com,lrichardson,514,Permanent,LR,TC762,\\fileserver\home\lrichardson,H:,logon.bat,\\server\profiles\lrichardson,2023-09-28 16:55:41,6,False,distinctio,rerum,impedit
Joanne,Baxter,Joanne Baxter,jbaxter@contoso.com,jbaxter,jbaxter@contoso.com,IT,Administrator,Branch East,Contoso,England,Johntown,,G7B 4TL,69 Ashley lakes,+44(0)113 496 0838,+441632 960 808,23635,john.doe@contoso.com,Administrator in IT,2023-07-05 08:57:06,2023-10-22 08:57:06,2023-07-10 08:57:06,,False,True,SMTP:jbaxter@contoso.com;smtp:joanne.baxter@alias.contoso.com,jbaxter,514,Intern,JB,TC802,\\fileserver\home\jbaxter,H:,logon.bat,\\server\profiles\jbaxter,2023-09-29 08:57:06,1,False,dolores,porro,dolores
Peter,Edwards,Peter Edwards,pedwards@phinit.com,pedwards,pedwards@phinit.com,HR,Specialist,Regional Office,PhinIT,England,Lake Frederickfort,,KW9 7PZ,"Studio 8
Smart fords",0116 4960924,+44289018107,85201,jane.smith@phinit.com,Specialist in HR,2023-08-11 21:20:03,2023-10-31 21:20:03,2023-08-16 21:20:03,,False,False,SMTP:pedwards@phinit.com;smtp:peter.edwards@alias.phinit.com,pedwards,512,Permanent,PE,TC436,\\fileserver\home\pedwards,H:,logon.bat,\\server\profiles\pedwards,2023-09-09 21:20:03,6,True,temporibus,exercitationem,incidunt
Bethany,Clayton,Bethany Clayton,bclayton@psscripts.com,bclayton,bclayton@psscripts.com,Finance,Analyst,Branch East,PSscripts,England,Port Jayne,,M1 1DE,"Studio 3
Brown fork",+441214960057,01144960673,72374,max.mustermann@psscripts.com,Analyst in Finance,2024-03-20 20:51:46,2024-11-11 20:51:46,2024-03-25 20:51:46,,True,True,SMTP:bclayton@psscripts.com;smtp:bethany.clayton@alias.psscripts.com,bclayton,514,Permanent,BC,TC959,\\fileserver\home\bclayton,H:,logon.bat,\\server\profiles\bclayton,2024-10-24 20:51:46,9,True,amet,officiis,esse
Graeme,Swift,Graeme Swift,gswift@phscripts.com,gswift,gswift@phscripts.com,Finance,Administrator,Branch East,PHscripts,England,North Lucyton,,FY5 1HL,24 Ben lakes,01614960721,+44(0)306 9990028,37014,max.mustermann@phscripts.com,Administrator in Finance,2023-06-30 20:18:16,2023-10-28 20:18:16,2023-07-05 20:18:16,,False,False,SMTP:gswift@phscripts.com;smtp:graeme.swift@alias.phscripts.com,gswift,544,Intern,GS,TC531,\\fileserver\home\gswift,H:,logon.bat,\\server\profiles\gswift,2023-10-25 20:18:16,3,False,occaecati,porro,aliquid
Anne,Brown,Anne Brown,abrown@contoso.com,abrown,abrown@contoso.com,Support,Analyst,HQ,Contoso,England,Smithfurt,,B7G 8BD,911 Grace crossing,+44(0)909 879 0562,0116 496 0912,28149,jane.smith@contoso.com,Analyst in Support,2023-11-05 02:06:37,2024-07-10 02:06:37,2023-11-10 02:06:37,,False,True,SMTP:abrown@contoso.com;smtp:anne.brown@alias.contoso.com,abrown,544,Intern,AB,TC685,\\fileserver\home\abrown,H:,logon.bat,\\server\profiles\abrown,2024-05-28 02:06:37,2,True,explicabo,ullam,mollitia
Engin,Holt,Engin Holt,eholt@phinit.com,eholt,eholt@phinit.com,Finance,Engineer,Branch West,PhinIT,Deutschland,Mayen,Bremen,29893,Mitschkestr. 903,+49(0)0302581234,+49(0)9343105803,93678,jane.smith@phinit.com,Engineer in Finance,2023-10-30 04:06:17,2024-03-25 04:06:17,2023-11-04 04:06:17,,True,True,SMTP:eholt@phinit.com;smtp:engin.holt@alias.phinit.com,eholt,544,Permanent,EH,TC844,\\fileserver\home\eholt,H:,logon.bat,\\server\profiles\eholt,2024-01-26 04:06:17,6,True,est,omnis,repellendus
Leonard,Junken,Leonard Junken,ljunken@psscripts.com,ljunken,ljunken@psscripts.com,Marketing,Consultant,Branch East,PSscripts,Deutschland,Apolda,Saarland,91597,Hans-Werner-Hornich-Gasse 2/8,+49(0)8210300179,+49(0)6996 237005,41225,jane.smith@psscripts.com,Consultant in Marketing,2024-04-11 23:21:26,2025-03-31 23:21:26,2024-04-16 23:21:26,,True,False,SMTP:ljunken@psscripts.com;smtp:leonard.junken@alias.psscripts.com,ljunken,514,Permanent,LJ,TC627,\\fileserver\home\ljunken,H:,logon.bat,\\server\profiles\ljunken,2025-02-27 23:21:26,4,True,odio,culpa,perspiciatis
Annelore,Mühle,Annelore Mühle,amühle@phscripts.com,amühle,amühle@phscripts.com,Sales,Engineer,HQ,PHscripts,Deutschland,Konstanz,Brandenburg,63618,Trappplatz 988,06582 486163,0548351769,81365,john.doe@phscripts.com,Engineer in Sales,2023-11-11 17:16:46,2023-12-16 17:16:46,2023-11-16 17:16:46,,False,False,SMTP:amühle@phscripts.com;smtp:annelore.mühle@alias.phscripts.com,amühle,544,Contractor,AM,TC836,\\fileserver\home\amühle,H:,logon.bat,\\server\profiles\amühle,2023-12-06 17:16:46,10,True,inventore,modi,cum
Utz,Vollbrecht,Utz Vollbrecht,uvollbrecht@contoso.com,uvollbrecht,uvollbrecht@contoso.com,Finance,Manager,Remote,Contoso,Deutschland,Groß-Gerau,Sachsen,12654,Mirella-Blümel-Ring 9,+49(0)5760 562973,03110488314,13973,jane.smith@contoso.com,Manager in Finance,2023-09-10 18:08:26,2024-03-17 18:08:26,2023-09-15 18:08:26,,False,True,SMTP:uvollbrecht@contoso.com;smtp:utz.vollbrecht@alias.contoso.com,uvollbrecht,544,Intern,UV,TC365,\\fileserver\home\uvollbrecht,H:,logon.bat,\\server\profiles\uvollbrecht,2024-02-16 18:08:26,1,False,porro,quos,aut
